business_id,subsector
10055,Miscellaneous
10064,Restaurants
10110,Restaurants
10170,Bars & Nightlife
10174,Restaurants
10186,Miscellaneous
10201,Medical Offices
10224,Miscellaneous
10252,Hotels & Motels
10271,Miscellaneous
10278,Bars & Nightlife
10309,Miscellaneous
10317,Miscellaneous
10328,Miscellaneous
10342,Miscellaneous
10343,Events & Venues
10375,Miscellaneous
10379,Miscellaneous
10396,Miscellaneous
10404,Financial Services
10410,Miscellaneous
10438,Miscellaneous
10440,Restaurants
10454,Electrical
10465,Miscellaneous
10466,Miscellaneous
10470,Bakery & Desserts
10486,Medical Offices
10490,Fast Food
10495,Financial Services
10496,Repair & Maintenance
10498,Restaurants
10525,Miscellaneous
10536,Miscellaneous
10551,Miscellaneous
10570,Miscellaneous
10571,Miscellaneous
10610,Restaurants
10613,Miscellaneous
10650,Miscellaneous
10701,Fitness & Recreation
10704,Restaurants
10705,Miscellaneous
10718,Medical Offices
10732,Health & Beauty
10749,Bars & Nightlife
10785,Miscellaneous
10813,Miscellaneous
10814,Bars & Nightlife
10815,Repair & Maintenance
10827,Miscellaneous
10831,Car Wash & Detailing
10845,Specialty Retail
10846,Miscellaneous
10851,Miscellaneous
10855,Miscellaneous
10856,Bars & Nightlife
10861,Health & Beauty
10865,Specialty Food
10894,Miscellaneous
10899,Bars & Nightlife
10902,Restaurants
10907,Restaurants
10910,Miscellaneous
10913,Miscellaneous
10924,Miscellaneous
10925,Miscellaneous
10934,Fitness & Recreation
10981,Miscellaneous
10986,Miscellaneous
10989,Coffee & Tea
10990,Sports & Recreation
11045,Clothing & Apparel
11055,Miscellaneous
11068,Clothing & Apparel
11070,Health & Beauty
11077,Miscellaneous
11082,Childcare
11090,Home & Garden
11091,Bakery & Desserts
11112,Bars & Nightlife
11165,Clothing & Apparel
11174,Automotive Retail
11183,Financial Services
11199,Miscellaneous
11243,Miscellaneous
11247,Miscellaneous
11249,Pet Services
11267,Miscellaneous
11274,Miscellaneous
11280,Miscellaneous
11291,Miscellaneous
11311,Miscellaneous
11329,Health & Beauty
11331,Miscellaneous
11344,Coffee & Tea
11348,Miscellaneous
11349,Restaurants
11354,Restaurants
11356,Miscellaneous
11397,Schools
11405,Clothing & Apparel
11406,Miscellaneous
11430,Medical Offices
11445,Clothing & Apparel
11462,Miscellaneous
11463,Miscellaneous
11464,Fitness & Recreation
11468,Legal Services
11474,Repair & Maintenance
11478,Miscellaneous
11480,Miscellaneous
11498,Miscellaneous
11506,Health & Beauty
11537,Specialty Retail
11564,Fast Food
11565,Home & Garden
11568,Miscellaneous
11569,Miscellaneous
11575,Health & Beauty
11605,Business Services
11633,Health & Beauty
11637,Miscellaneous
11640,Pet Services
11642,Coffee & Tea
11660,Restaurants
11681,Repair & Maintenance
11700,Real Estate
11706,Miscellaneous
11711,Miscellaneous
11724,Restaurants
11731,Coffee & Tea
11733,Miscellaneous
11742,Construction & Contractors
11749,Hotels & Motels
11760,Miscellaneous
11773,Miscellaneous
11787,Miscellaneous
11795,Restaurants
11815,Miscellaneous
11844,Miscellaneous
11846,Repair & Maintenance
11850,Miscellaneous
11856,Repair & Maintenance
11857,Miscellaneous
11858,Sports & Recreation
11870,Specialty Food
11880,Miscellaneous
11881,Miscellaneous
11907,Miscellaneous
11919,Miscellaneous
11955,Miscellaneous
11968,Miscellaneous
11988,Coffee & Tea
12007,Restaurants
